session_id,user_id,variant,session_duration,pages_visited,persona,base_interact,variant_boost,interacted_with_panel,p_engage,engaged,p_add,added_to_cart,p_conv,converted,engagement_score,time_to_conversion
1,14041,A,82,7,TargetedShopper,0.15,0,0,0.24,1,0.05,0,0,0,9.56666666666667,NA
2,11268,B,57,6,HighIntent,0.3,0.07,0,0.22,1,0.05,0,0,0,5.7,NA
3,4260,B,14,10,DealHunter,0.18,0.07,1,0.6,1,0.25,0,0,0,4.66666666666667,NA
4,5767,B,15,7,TargetedShopper,0.15,0.07,0,0.24,0,0,0,0,0,1.75,NA
5,8241,A,42,10,TargetedShopper,0.15,0,0,0.3,0,0,0,0,0,7,NA
6,2530,B,49,8,HighIntent,0.3,0.07,1,0.56,0,0,0,0,0,13.0666666666667,NA
7,3739,A,95,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,7.91666666666667,NA
8,711,B,59,0,Explorer,0.05,0.07,0,0.1,0,0,0,0,0,0,NA
9,7657,B,19,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,2.53333333333333,NA
10,5529,B,59,5,DealHunter,0.18,0.07,1,0.5,1,0.25,0,0,0,9.83333333333333,NA
11,5378,A,22,4,DealHunter,0.18,0,1,0.48,0,0,0,0,0,2.93333333333333,NA
12,7029,A,144,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,9.6,NA
13,4602,B,115,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,5.75,NA
14,11538,B,22,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,2.93333333333333,NA
15,4030,A,23,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,2.3,NA
16,856,A,37,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,1.85,NA
17,10915,B,16,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,1.33333333333333,NA
18,10639,B,135,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,6.75,NA
19,13938,B,164,9,DealHunter,0.18,0.07,0,0.28,0,0,0,0,0,24.6,NA
20,4934,A,65,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,3.25,NA
21,6897,B,79,8,Explorer,0.05,0.07,0,0.26,0,0,0,0,0,10.5333333333333,NA
22,3331,A,36,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,2.4,NA
23,3912,B,18,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,2.1,NA
24,10344,A,75,5,TargetedShopper,0.15,0,0,0.2,1,0.05,0,0,0,6.25,NA
25,4106,A,28,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,1.86666666666667,NA
26,12420,B,361,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,24.0666666666667,NA
27,10274,A,69,5,Explorer,0.05,0,0,0.2,1,0.05,0,0,0,5.75,NA
28,12617,B,43,5,TargetedShopper,0.15,0.07,0,0.2,1,0.05,0,0,0,3.58333333333333,NA
29,8135,B,50,5,DealHunter,0.18,0.07,0,0.2,0,0,0,0,0,4.16666666666667,NA
30,1453,B,13,4,HighIntent,0.3,0.07,0,0.18,0,0,0,0,0,0.866666666666667,NA
31,3551,B,7,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,0.816666666666667,NA
32,12292,A,330,2,TargetedShopper,0.15,0,0,0.14,0,0,0,0,0,11,NA
33,5999,A,37,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,3.7,NA
34,13224,A,285,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,14.25,NA
35,7410,B,65,2,TargetedShopper,0.15,0.07,0,0.14,0,0,0,0,0,2.16666666666667,NA
36,11767,B,47,5,Explorer,0.05,0.07,0,0.2,1,0.05,0,0,0,3.91666666666667,NA
37,14230,A,223,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,14.8666666666667,NA
38,12527,A,277,2,DealHunter,0.18,0,1,0.44,1,0.25,0,0,0,18.4666666666667,NA
