session_id,user_id,variant,session_duration,pages_visited,persona,base_interact,variant_boost,interacted_with_panel,p_engage,engaged,p_add,added_to_cart,p_conv,converted,engagement_score,time_to_conversion,session_depth,engagement_level,visited,add_to_cart,conversion
1,14041,A,82,7,TargetedShopper,0.15,0,0,0.24,1,0.05,0,0,0,9.56666666666667,NA,7,Low,1,0,0
2,11268,B,57,6,HighIntent,0.3,0.07,0,0.22,1,0.05,0,0,0,5.7,NA,6,Low,1,0,0
3,4260,B,14,10,DealHunter,0.18,0.07,1,0.6,1,0.25,0,0,0,4.66666666666667,NA,20,Low,1,0,0
4,5767,B,15,7,TargetedShopper,0.15,0.07,0,0.24,0,0,0,0,0,1.75,NA,7,Low,1,0,0
5,8241,A,42,10,TargetedShopper,0.15,0,0,0.3,0,0,0,0,0,7,NA,10,Low,1,0,0
6,2530,B,49,8,HighIntent,0.3,0.07,1,0.56,0,0,0,0,0,13.0666666666667,NA,16,Low,1,0,0
7,3739,A,95,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,7.91666666666667,NA,5,Low,1,0,0
8,711,B,59,0,Explorer,0.05,0.07,0,0.1,0,0,0,0,0,0,NA,0,Low,1,0,0
9,7657,B,19,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,2.53333333333333,NA,8,Low,1,0,0
10,5529,B,59,5,DealHunter,0.18,0.07,1,0.5,1,0.25,0,0,0,9.83333333333333,NA,10,Low,1,0,0
11,5378,A,22,4,DealHunter,0.18,0,1,0.48,0,0,0,0,0,2.93333333333333,NA,8,Low,1,0,0
12,7029,A,144,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,9.6,NA,4,Low,1,0,0
13,4602,B,115,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,5.75,NA,3,Low,1,0,0
14,11538,B,22,8,DealHunter,0.18,0.07,0,0.26,0,0,0,0,0,2.93333333333333,NA,8,Low,1,0,0
15,4030,A,23,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,2.3,NA,6,Low,1,0,0
16,856,A,37,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,1.85,NA,3,Low,1,0,0
17,10915,B,16,5,HighIntent,0.3,0.07,0,0.2,0,0,0,0,0,1.33333333333333,NA,5,Low,1,0,0
18,10639,B,135,3,Explorer,0.05,0.07,0,0.16,0,0,0,0,0,6.75,NA,3,Low,1,0,0
19,13938,B,164,9,DealHunter,0.18,0.07,0,0.28,0,0,0,0,0,24.6,NA,9,Low,1,0,0
20,4934,A,65,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,3.25,NA,3,Low,1,0,0
21,6897,B,79,8,Explorer,0.05,0.07,0,0.26,0,0,0,0,0,10.5333333333333,NA,8,Low,1,0,0
22,3331,A,36,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,2.4,NA,4,Low,1,0,0
23,3912,B,18,7,DealHunter,0.18,0.07,0,0.24,0,0,0,0,0,2.1,NA,7,Low,1,0,0
24,10344,A,75,5,TargetedShopper,0.15,0,0,0.2,1,0.05,0,0,0,6.25,NA,5,Low,1,0,0
25,4106,A,28,4,TargetedShopper,0.15,0,0,0.18,0,0,0,0,0,1.86666666666667,NA,4,Low,1,0,0
26,12420,B,361,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,24.0666666666667,NA,4,Low,1,0,0
27,10274,A,69,5,Explorer,0.05,0,0,0.2,1,0.05,0,0,0,5.75,NA,5,Low,1,0,0
28,12617,B,43,5,TargetedShopper,0.15,0.07,0,0.2,1,0.05,0,0,0,3.58333333333333,NA,5,Low,1,0,0
29,8135,B,50,5,DealHunter,0.18,0.07,0,0.2,0,0,0,0,0,4.16666666666667,NA,5,Low,1,0,0
30,1453,B,13,4,HighIntent,0.3,0.07,0,0.18,0,0,0,0,0,0.866666666666667,NA,4,Low,1,0,0
31,3551,B,7,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,0.816666666666667,NA,7,Low,1,0,0
32,12292,A,330,2,TargetedShopper,0.15,0,0,0.14,0,0,0,0,0,11,NA,2,Low,1,0,0
33,5999,A,37,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,3.7,NA,6,Low,1,0,0
34,13224,A,285,3,Explorer,0.05,0,0,0.16,0,0,0,0,0,14.25,NA,3,Low,1,0,0
35,7410,B,65,2,TargetedShopper,0.15,0.07,0,0.14,0,0,0,0,0,2.16666666666667,NA,2,Low,1,0,0
36,11767,B,47,5,Explorer,0.05,0.07,0,0.2,1,0.05,0,0,0,3.91666666666667,NA,5,Low,1,0,0
37,14230,A,223,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,14.8666666666667,NA,4,Low,1,0,0
38,12527,A,277,2,DealHunter,0.18,0,1,0.44,1,0.25,0,0,0,18.4666666666667,NA,4,Low,1,0,0
39,12560,A,67,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,5.58333333333333,NA,5,Low,1,0,0
40,5060,A,55,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,1.83333333333333,NA,2,Low,1,0,0
41,14025,A,144,5,DealHunter,0.18,0,0,0.2,0,0,0,0,0,12,NA,5,Low,1,0,0
42,1370,B,5,4,Explorer,0.05,0.07,0,0.18,1,0.05,0,0,0,0.333333333333333,NA,4,Low,1,0,0
43,14130,A,25,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,2.5,NA,6,Low,1,0,0
44,8344,B,21,2,Explorer,0.05,0.07,0,0.14,0,0,0,0,0,0.7,NA,2,Low,1,0,0
45,2186,B,470,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,31.3333333333333,NA,4,Low,1,0,0
46,14704,B,44,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,3.66666666666667,NA,5,Low,1,0,0
47,1785,A,133,5,Explorer,0.05,0,1,0.5,1,0.25,0,0,0,22.1666666666667,NA,10,Low,1,0,0
48,14852,A,64,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4.26666666666667,NA,4,Low,1,0,0
49,5743,A,28,5,Explorer,0.05,0,0,0.2,0,0,0,0,0,2.33333333333333,NA,5,Low,1,0,0
50,6590,B,117,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,11.7,NA,6,Low,1,0,0
51,751,A,17,4,TargetedShopper,0.15,0,1,0.48,0,0,0,0,0,2.26666666666667,NA,8,Low,1,0,0
52,617,B,73,8,Explorer,0.05,0.07,0,0.26,1,0.05,0,0,0,9.73333333333333,NA,8,Low,1,0,0
53,1332,A,15,5,TargetedShopper,0.15,0,0,0.2,0,0,0,0,0,1.25,NA,5,Low,1,0,0
54,13461,B,271,3,Explorer,0.05,0.07,0,0.16,1,0.05,0,0,0,13.55,NA,3,Low,1,0,0
55,2476,B,132,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,11,NA,5,Low,1,0,0
56,9442,B,26,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,2.16666666666667,NA,5,Low,1,0,0
57,3909,A,46,6,DealHunter,0.18,0,1,0.52,0,0,0,0,0,9.2,NA,12,Low,1,0,0
58,3287,A,145,8,Explorer,0.05,0,0,0.26,0,0,0,0,0,19.3333333333333,NA,8,Low,1,0,0
59,1967,A,99,9,DealHunter,0.18,0,0,0.28,0,0,0,0,0,14.85,NA,9,Low,1,0,0
60,124,B,214,7,TargetedShopper,0.15,0.07,1,0.54,0,0,0,0,0,49.9333333333333,NA,14,Low,1,0,0
61,7445,A,78,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,5.2,NA,4,Low,1,0,0
62,12199,A,103,1,DealHunter,0.18,0,0,0.12,0,0,0,0,0,1.71666666666667,NA,1,Low,1,0,0
63,647,A,60,4,Explorer,0.05,0,0,0.18,0,0,0,0,0,4,NA,4,Low,1,0,0
64,11550,A,21,2,DealHunter,0.18,0,0,0.14,0,0,0,0,0,0.7,NA,2,Low,1,0,0
65,5160,B,40,4,Explorer,0.05,0.07,1,0.48,1,0.25,1,0.32,1,5.33333333333333,39.5855598221533,8,Low,1,1,1
66,8699,B,26,6,TargetedShopper,0.15,0.07,0,0.22,0,0,0,0,0,2.6,NA,6,Low,1,0,0
67,6757,A,121,5,TargetedShopper,0.15,0,0,0.2,1,0.05,0,0,0,10.0833333333333,NA,5,Low,1,0,0
68,2957,A,126,3,HighIntent,0.3,0,1,0.46,1,0.25,0,0,0,12.6,NA,6,Low,1,0,0
69,14570,A,85,7,Explorer,0.05,0,0,0.24,0,0,0,0,0,9.91666666666667,NA,7,Low,1,0,0
70,4008,A,49,5,TargetedShopper,0.15,0,1,0.5,0,0,0,0,0,8.16666666666667,NA,10,Low,1,0,0
71,12537,B,135,3,TargetedShopper,0.15,0.07,0,0.16,0,0,0,0,0,6.75,NA,3,Low,1,0,0
72,5752,A,84,3,DealHunter,0.18,0,0,0.16,0,0,0,0,0,4.2,NA,3,Low,1,0,0
73,11843,B,121,9,TargetedShopper,0.15,0.07,0,0.28,0,0,0,0,0,18.15,NA,9,Low,1,0,0
74,8571,A,67,6,Explorer,0.05,0,0,0.22,0,0,0,0,0,6.7,NA,6,Low,1,0,0
75,8493,B,15,7,Explorer,0.05,0.07,0,0.24,1,0.05,0,0,0,1.75,NA,7,Low,1,0,0
76,4010,A,37,4,DealHunter,0.18,0,0,0.18,0,0,0,0,0,2.46666666666667,NA,4,Low,1,0,0
77,6172,B,22,4,HighIntent,0.3,0.07,1,0.48,0,0,0,0,0,2.93333333333333,NA,8,Low,1,0,0
78,5191,B,69,4,DealHunter,0.18,0.07,1,0.48,1,0.25,0,0,0,9.2,NA,8,Low,1,0,0
79,12428,B,36,6,DealHunter,0.18,0.07,0,0.22,0,0,0,0,0,3.6,NA,6,Low,1,0,0
80,1276,B,64,2,DealHunter,0.18,0.07,0,0.14,1,0.05,0,0,0,2.13333333333333,NA,2,Low,1,0,0
81,5253,B,65,5,Explorer,0.05,0.07,0,0.2,0,0,0,0,0,5.41666666666667,NA,5,Low,1,0,0
82,10517,A,23,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,2.3,NA,6,Low,1,0,0
83,5065,B,137,7,Explorer,0.05,0.07,0,0.24,0,0,0,0,0,15.9833333333333,NA,7,Low,1,0,0
84,7682,B,123,6,Explorer,0.05,0.07,1,0.52,1,0.25,1,0.32,0,24.6,NA,12,Low,1,1,0
85,5400,A,262,6,TargetedShopper,0.15,0,0,0.22,0,0,0,0,0,26.2,NA,6,Low,1,0,0
86,9044,A,59,3,Explorer,0.05,0,0,0.16,1,0.05,0,0,0,2.95,NA,3,Low,1,0,0
87,9188,B,83,5,TargetedShopper,0.15,0.07,0,0.2,0,0,0,0,0,6.91666666666667,NA,5,Low,1,0,0
88,8849,B,113,7,Explorer,0.05,0.07,1,0.54,1,0.25,1,0.32,1,26.3666666666667,46.028293594718,14,Low,1,1,1
89,5268,B,18,4,Explorer,0.05,0.07,0,0.18,0,0,0,0,0,1.2,NA,4,Low,1,0,0
90,168,B,18,4,Explorer,0.05,0.07,1,0.48,1,0.25,1,0.32,1,2.4,NA,8,Low,1,1,1
91,13862,B,36,6,TargetedShopper,0.15,0.07,1,0.52,0,0,0,0,0,7.2,NA,12,Low,1,0,0
92,13632,A,260,5,TargetedShopper,0.15,0,1,0.5,0,0,0,0,0,43.3333333333333,NA,10,Low,1,0,0
93,6154,A,101,1,Explorer,0.05,0,0,0.12,1,0.05,0,0,0,1.68333333333333,NA,1,Low,1,0,0
