"user_id","persona","signup_date"
1,"DealHunter",2025-10-25
2,"TargetedShopper",2025-10-20
3,"TargetedShopper",2025-06-23
4,"TargetedShopper",2024-12-13
5,"DealHunter",2025-01-19
6,"TargetedShopper",2025-01-11
7,"DealHunter",2024-09-26
8,"Explorer",2025-07-17
9,"TargetedShopper",2025-04-03
10,"TargetedShopper",2025-02-19
11,"TargetedShopper",2024-12-29
12,"HighIntent",2025-03-22
13,"DealHunter",2025-05-16
14,"Explorer",2024-09-17
15,"TargetedShopper",2024-11-16
16,"DealHunter",2025-01-05
17,"TargetedShopper",2024-04-09
18,"TargetedShopper",2024-08-12
19,"DealHunter",2024-10-27
20,"Explorer",2025-05-02
21,"Explorer",2024-03-21
22,"DealHunter",2025-02-10
23,"Explorer",2025-02-11
24,"DealHunter",2025-08-29
25,"Explorer",2024-12-26
26,"HighIntent",2025-10-24
27,"DealHunter",2024-09-28
28,"Explorer",2025-07-11
29,"DealHunter",2025-02-11
30,"Explorer",2024-03-02
31,"TargetedShopper",2025-04-18
32,"Explorer",2025-03-23
33,"TargetedShopper",2025-03-24
34,"TargetedShopper",2024-03-26
35,"DealHunter",2025-03-14
36,"Explorer",2024-10-13
37,"Explorer",2025-08-22
38,"Explorer",2025-07-01
39,"HighIntent",2024-08-25
40,"HighIntent",2025-06-27
41,"TargetedShopper",2024-12-24
42,"HighIntent",2025-08-19
43,"DealHunter",2024-11-17
44,"DealHunter",2025-02-14
45,"HighIntent",2025-06-28
46,"DealHunter",2025-09-21
47,"DealHunter",2024-02-02
48,"Explorer",2025-04-23
49,"TargetedShopper",2024-10-20
50,"TargetedShopper",2024-05-08
51,"Explorer",2025-05-22
52,"DealHunter",2025-09-02
53,"Explorer",2025-08-07
54,"Explorer",2024-07-29
55,"TargetedShopper",2024-02-24
56,"TargetedShopper",2024-03-15
57,"TargetedShopper",2025-02-13
58,"TargetedShopper",2024-05-23
59,"DealHunter",2024-10-31
60,"TargetedShopper",2024-05-31
61,"Explorer",2024-06-03
62,"DealHunter",2025-03-19
63,"HighIntent",2024-08-29
64,"Explorer",2024-05-23
65,"Explorer",2024-10-22
66,"DealHunter",2025-05-22
67,"DealHunter",2025-03-22
68,"Explorer",2025-06-30
69,"Explorer",2025-04-26
70,"Explorer",2024-03-17
71,"Explorer",2024-05-27
72,"HighIntent",2024-02-20
73,"TargetedShopper",2024-12-11
74,"TargetedShopper",2025-08-23
75,"Explorer",2024-11-09
76,"TargetedShopper",2024-02-19
77,"DealHunter",2024-03-01
78,"TargetedShopper",2024-11-29
79,"DealHunter",2025-06-05
80,"TargetedShopper",2024-08-04
81,"DealHunter",2025-01-19
82,"Explorer",2025-09-09
83,"HighIntent",2024-09-05
84,"Explorer",2025-10-04
85,"Explorer",2025-01-27
86,"Explorer",2024-08-26
87,"TargetedShopper",2024-07-02
88,"Explorer",2024-11-22
89,"Explorer",2024-03-07
90,"TargetedShopper",2024-12-05
91,"DealHunter",2025-02-03
92,"HighIntent",2025-03-19
93,"Explorer",2024-09-24
94,"HighIntent",2024-07-25
95,"TargetedShopper",2025-09-23
96,"DealHunter",2024-01-17
97,"DealHunter",2025-05-17
98,"DealHunter",2024-08-05
99,"DealHunter",2024-10-23
100,"Explorer",2024-10-14
101,"TargetedShopper",2025-04-23
102,"HighIntent",2025-09-23
103,"Explorer",2025-04-13
104,"DealHunter",2025-10-02
